#	MODELO	DE	CAPTURA	A	LA	EDAD	M3A															
#numero	de	años.																				
40																						
#numero	de	edades.																				
23																						
#edad	minima.																					
2																						
##Año	Captura	cv	CPUE	cv	Bcru	cv	nm_flo	nm_cru														
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
0.18	0.24	0.29	0.42	0.47	0.53	0.62	0.7	0.76	0.82	0.86	0.92	0.96	1.03	1.08	1.07	1.17	1.19	1.24	1.23	1.41	1.4	1.67
#	edades	y	madurez	sexual																		
0.017553293	0.06198469	0.168122896	0.344450166	0.543170878	0.704974452	0.812703021	0.878420991	0.917841006	0.941906553	0.957066396	0.966956402	0.97363238	0.978282431	0.981613389	0.984058933	0.985893336	0.987295101	0.988383551	0.989240437	0.989923051	0.990472383	0.990918319
#	CONTROLES	DEL	MODELO																			
#_________________________________________________________________________________																						
#	Coeficiente	de	variación	de	los	reclutamientos																
#	sigmaR	#Roprior																				
	0.6	200000																				
#	fases	de	calculo	de#	sigmaR	y	Ro															
	1	1																				
#	dt	desove	dt	CPUE	dt	Crucero																
	0.583	0.583	0.583																			
#	Steepness	y	M																			
0.75	0.18																					
#coeficiente	de	hiper	estabilidad	de	la	CPUE	(1=proporcional)calculado	en	el	archivo	hiper.xlsx											
0.5378																						
#	PARAMETROS	DE	SELECTIVIDAD																			
#____________________________________________________																						
#	A50	sigma	1	sigma	2	(A50=	edad	primera	captura)													
	15	2	1000																			
#	Número	de	bloques	de	selectividad	flota	y	años	de	inicio												
#5																						
#1978	1995	1999	2002	2005																		
#6																						
#1978	1995	1999	2002	2004	2007																	
3																						
1978 1995 2007																						
#	Número	de	bloques	de	selectividad	crucero	y	años	de	inicio												
2																						
1978	2009																					
#	Número	de	bloques	de	capturabilidad	flota	y	años	de	inicio												
1																						
1978																						
#	Número	de	bloques	de	capturabilidad	crucero	y	años	de	inicio												
1																						
1978																						
#_________________________________________________________________																						
#	FASES	DE	ESTIMACION	DE	PARAMETROS																	
#	(valores	negativos	=	no	se	estiman)																
#	Estimacion	del	coeficiente	de	capturabilidad	qflota	y	qcrucero														
5	-6																					
#	Estimacion	parámetro	de	hiper	estabilidad	(b)	de	la	CPUE													
-3																						
#	Estimacion	de	la	selectividad	flota	y	cruceros															
4	5																					
#	Estimación	de	la	mortalidad	por	pesca																
3																						
#	Estimacion	variación	anual	de	reclutamientos																	
2																						
#	Estimacion	condición	inicial	(si	es	<0	esta	en	equilibrio)													
-1																						
#	PROYECCION	DE	LA	POBLACION																		
#____________________________________________________																						
#numero	de	escenarios																				
6.00E+00																						
#Frms																						
0.1722																						
#	Multiplos	de	mFrms																			
1.00E-05	0.2	0.4	0.6	0.8	1																	
#0.00001	0.04	0.08	0.12	0.16	0.2																	
#	Años	a	proyectar	y	fracción	de	Rmed	a	considerar													
40	1																					
#	ESTIMA	-1	O	CALCULA	0	si	tiene	*.pin														
#____________________________________________________																						
1																						
